2025-11-18 13:41:06,815 - ERROR - Error processing response_20240818_223805_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,816 - ERROR - Error processing response_20240818_223903_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,818 - ERROR - Error processing response_20240818_223959_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,820 - ERROR - Error processing response_20240818_224056_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,821 - ERROR - Error processing response_20240818_224153_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,824 - ERROR - Error processing response_20240818_224251_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,826 - ERROR - Error processing response_20240818_224347_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,829 - ERROR - Error processing response_20240818_224445_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,831 - ERROR - Error processing response_20240818_224542_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,835 - ERROR - Error processing response_20240818_224639_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,837 - ERROR - Error processing response_20240818_224736_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,838 - ERROR - Error processing response_20240818_224930_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,840 - ERROR - Error processing response_20240818_225027_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,843 - ERROR - Error processing response_20240818_225124_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,844 - ERROR - Error processing response_20240818_225221_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,846 - ERROR - Error processing response_20240818_225318_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,847 - ERROR - Error processing response_20240818_225415_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,849 - ERROR - Error processing response_20240818_225512_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,850 - ERROR - Error processing response_20240818_225609_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,852 - ERROR - Error processing response_20240818_225706_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,854 - ERROR - Error processing response_20240818_225803_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,856 - ERROR - Error processing response_20240818_225900_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,858 - ERROR - Error processing response_20240818_225957_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,859 - ERROR - Error processing response_20240818_230054_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,861 - ERROR - Error processing response_20240818_230152_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,862 - ERROR - Error processing response_20240818_230249_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,864 - ERROR - Error processing response_20240818_230346_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,865 - ERROR - Error processing response_20240818_230443_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,867 - ERROR - Error processing response_20240818_230637_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,869 - ERROR - Error processing response_20240818_230734_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,870 - ERROR - Error processing response_20240818_230831_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,872 - ERROR - Error processing response_20240818_230928_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
